file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\ows\src\test\java\org\geoserver\ows\MessageXmlParser.java,org.geoserver.ows.MessageXmlParser,class,6,6,0,6,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,4,0,3,0,3,0,0,0,0,22,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wms\src\main\java\org\geoserver\wms\georss\RSSGeoRSSTransformer.java,org.geoserver.wms.georss.RSSGeoRSSTransformer,class,6,8,2,6,2,5,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,113,1,0,0,0,0,0,0,1,0,1,0,0,1,0,23,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wms\src\main\java\org\geoserver\wms\WatermarkInfo.java,org.geoserver.wms.WatermarkInfo$Position$Anonymous4,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wms\src\main\java\org\geoserver\wms\WatermarkInfo.java,org.geoserver.wms.WatermarkInfo$Position$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\dxf\core\src\main\java\org\geoserver\wfs\response\DXFOutputFormat.java,org.geoserver.wfs.response.DXFOutputFormat,class,11,12,1,11,34,2,0,41,34,0.8333334,0.0,0.0,9,0,5,3,1,0,7,0,0,0,2,2,1,1,0,0,2,0,3,140,9,6,9,2,2,46,12,41,12,28,4,0,0,0,220,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wms\src\main\java\org\geoserver\wms\WatermarkInfo.java,org.geoserver.wms.WatermarkInfo$Position$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\monitor\core\src\main\java\org\geoserver\monitor\MemoryMonitorDAO.java,org.geoserver.monitor.MemoryMonitorDAO,class,13,22,9,13,37,1,0,30,168,0.85,0.0,0.0,20,0,20,0,0,0,20,0,0,0,4,1,1,0,0,3,1,0,2,229,13,4,9,0,0,2,5,13,0,12,3,0,4,0,79,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\app-schema\app-schema-test\src\test\java\org\geoserver\test\SecondaryNamespaceExceptionMockData.java,org.geoserver.test.SecondaryNamespaceExceptionMockData,class,1,2,1,1,1,3,0,3,0,0.25,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,4,0,0,4,0,4,0,0,11,0,0,0,0,0,8,0,4,0,4,0,0,0,0,52,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\core\src\main\java\org\geoserver\web\wicket\GeoServerTablePanel.java,org.geoserver.web.wicket.GeoServerTablePanel$Pager$Anonymous10,anonymous,2,2,0,2,1,1,0,5,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\app-schema\app-schema-test\src\test\java\org\geoserver\test\TimeSeriesMockData.java,org.geoserver.test.TimeSeriesMockData,class,1,2,1,1,2,3,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,0,2,0,2,0,0,11,0,0,0,0,0,6,0,2,0,2,0,0,0,0,51,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wcs2_0\src\main\java\org\geoserver\wcs2_0\exception\WCS20Exception.java,org.geoserver.wcs2_0.exception.WCS20Exception,class,2,24,22,2,6,3,0,1,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,0,41,0,0,0,0,0,0,1,1,0,1,0,0,1,0,50,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\test\java\org\geoserver\security\web\data\ConfirmRemovalDataAccessRulePanelTest.java,org.geoserver.security.web.data.ConfirmRemovalDataAccessRulePanelTest,class,7,8,1,7,9,5,0,10,15,1.0,0.0,0.0,6,0,1,0,5,0,6,0,0,0,1,1,0,1,0,0,1,0,0,39,5,1,0,0,0,5,1,2,1,2,2,1,0,0,36,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\core\src\main\java\org\geoserver\web\wicket\browser\FileBreadcrumbs.java,org.geoserver.web.wicket.browser.FileBreadcrumbs,class,5,10,5,5,4,2,0,3,4,0.75,0.0,0.0,4,0,3,0,1,0,4,1,0,0,2,1,0,1,0,1,1,0,0,60,0,0,0,0,0,1,1,2,0,2,0,1,1,0,50,1025,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\main\java\org\geoserver\security\web\role\SelectionRoleRemovalLink.java,org.geoserver.security.web.role.SelectionRoleRemovalLink$Anonymous1$Anonymous2,anonymous,3,3,0,3,1,1,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,13,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\ldap\src\main\java\org\geoserver\web\security\ldap\LDAPAuthProviderPanel.java,org.geoserver.web.security.ldap.LDAPAuthProviderPanel$UserGroupAuthorizationPanel,innerclass,2,2,0,2,2,3,0,3,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,0,0,0,2,1,1,0,1,0,0,0,0,19,0,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\community\hello_web\src\main\java\org\geoserver\helloweb\HelloPage.java,org.geoserver.helloweb.HelloPage,class,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wcs1_0\src\main\java\org\geoserver\wcs\kvp\AxisSubsetKvpParser.java,org.geoserver.wcs.kvp.AxisSubsetKvpParser,class,6,6,0,6,6,2,0,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,1,1,2,0,0,7,7,8,1,8,2,0,0,0,41,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\xml\v1_1_0\AllSomeTypeBinding.java,org.geoserver.wfs.xml.v1_1_0.AllSomeTypeBinding,class,4,5,1,4,6,2,0,1,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,21,5,0,0,0,0,2,0,1,0,1,1,0,0,0,35,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\restconfig\src\test\java\org\geoserver\rest\CatalogReloadControllerTest.java,org.geoserver.rest.CatalogReloadControllerTest$ReloadResetWatcher,innerclass,1,1,0,1,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,10,0
